typesup;lib_sup;symb_sup;d_symb_sup;etiquette;classement;application
A10;A10 - Servitude relative à la zone de protection naturelle agricole et forestière du plateau de Saclay;A10|gen|ass;Remplissage : symbole de police : Wingdings  0xa7\nCouleur : #00ff00\nCouleur fond : aucune\nContour polygone : ligne simple\nTaille : 1,2\nCouleur contour : #00ff00;A10|gen|ass;symbole;
AC1;AC1 - Servitudes relatives aux monuments historiques;AC1|gen_classe|ass_mh;Remplissage simple : motif de points (1 sur 2)\nStyle de bordure : ligne continue\nLargeur de bordure : 2 pixels\nCouleur : #ff8000;AC1|gen_x|ass_mh;symbole;Symboles concernés :\n\nAC1|gen_classe|ass_mh\nAC1|gen_inscrit|ass_mh\nAC1|gen_mixte|ass_mh
AC1;AC1 - Servitudes relatives aux monuments historiques;AC1|gen_inscrit|ass_mh;;;sous-code;
AC1;AC1 - Servitudes relatives aux monuments historiques;AC1|gen_mixte|ass_mh;;;sous-code;
AC1;AC1 - Servitudes relatives aux monuments historiques;AC1|gen_classe|ass_abor;Remplissage simple\nStyle : diagonale\nTaille du contour : 1,5\nCouleur : #ff8000\nEpaisseur de ligne : 0,8;AC1|gen_x|ass_abor;symbole;Symboles concernés :\n\nAC1|gen_classe|ass_abor\nAC1|gen_inscrit|ass_abor\nAC1|gen_mixte|ass_abor
AC1;AC1 - Servitudes relatives aux monuments historiques;AC1|gen_inscrit|ass_abor;;;sous-code;
AC1;AC1 - Servitudes relatives aux monuments historiques;AC1|gen_mixte|ass_abor;;;sous-code;
AC2;AC2 - Servitudes relatives aux sites inscrits et classés;AC2|gen_classe|ass;Symbole de remplissage  : motif de ligne\nAngles : 0 et 90  Distance : 4 pixels\nEpaisseur de ligne : 1\nCouleur fond : aucune\nContour polygone : ligne continue\nEpaisseur de ligne : 1\nCouleur :  #ff8000;AC2|gen_classe|ass;symbole;
AC2;AC2 - Servitudes relatives aux sites inscrits et classés;AC2|gen_inscrit|ass;Symbole de remplissage : motif de ligne\nAngles : 0 et 90  Distance : 8 pixels\nCouleur fond : aucune\nEpaisseur de ligne : 1\nContour polygone : ligne continue\nEpaisseur de ligne : 1\nCouleur : #ff8000;AC2|gen_inscrit|ass;symbole;
AC3;AC3 - Réserves naturelles et périmètres de protection autour des réserves naturelles;AC3|gen_reservnatnatio|ass;Symbole de remplissage : motif de points\nSymbole : chapeau chinois\nEpaisseur : 1, Angle 270, taille : 8\nDistance horizontale : 9\nDistance verticale : 9\nCouleur fond : aucune\nContour: ligne continue : taille 1,5 : Couleur: #ff8000;AC3|gen_x|ass;symbole;Symboles concernés :\n\nAC3|gen_reservnatnatio|ass\nAC3|gen_reservnatregio|ass\nAC3|gen_reservnatcorse|ass
AC3;AC3 - Réserves naturelles et périmètres de protection autour des réserves naturelles;AC3|gen_reservnatregio|ass;;;sous-code;
AC3;AC3 - Réserves naturelles et périmètres de protection autour des réserves naturelles;AC3|gen_reservnatcorse|ass;;;sous-code;
AC4;AC4 - Sites patrimoniaux remarquables (SPR) et plans de valorisation de l’architecture et du patrimoine (PVAP);AC4|gen|ass;Remplissage simple : motif de lignes\nAngle : 135°  Epaisseur : 1 Intervalle : 8\nCouleur fond : aucune\nBordure : ligne continue\nTaille du contour : 1,5\nCouleur : #ff8000;AC4|gen|ass;symbole;
AC4bis;AC4bis - Sites patrimoniaux remarquables (SPR) et plans de valorisation de l’architecture et du patrimoine (PVAP);AC4bis|gen|ass;Remplissage simple : motif de lignes\nAngle : 135°  Epaisseur : 1 Intervalle : 8\nCouleur fond : aucune\nBordure : ligne continue\nTaille du contour : 1,5\nCouleur : #ff8000;AC4bis|gen|ass;symbole;
